type4|n008370
type4|n001284
type4|n006658
type4|n001398
type4|n003022
type4|n007033
type4|n001740
type4|n009046
type4|n005237
type4|n007841
type4|n006555
type4|n003955
type4|n002249
type4|n004851
type4|n008087
type4|n003405
type4|n008291
type4|n007338
type4|n008968
type4|n005221
type4|n006069
type4|n007132
type4|n005595
type4|n004168
type4|n003388
type4|n007119
type4|n002217
type4|n001510
type4|n008554
type4|n005299
type4|n008323
type4|n008737
type4|n008611
type4|n004378
type4|n007237
type4|n000052
type4|n008851
type4|n004489
type4|n009180
type4|n003913
type4|n000930
type4|n002366
type4|n007409
type4|n001191
type4|n005774
type4|n002224
type4|n008871
type4|n000927
type4|n007004
type4|n000402
type4|n007253
type4|n002677
type4|n003086
type4|n007563
type4|n002676
type4|n006030
type4|n005567
type4|n004481
type4|n002545
type4|n007053
type4|n008684
type4|n007226
type4|n000360
type4|n006610
type4|n004493
type4|n005583
type4|n008623
type4|n007600
type4|n008879
type4|n008935
type4|n008962
type4|n002718
type4|n007748
type4|n003464
type4|n000828
type4|n005729
type4|n008180
type4|n005684
type4|n003397
type4|n003503
type4|n000544
type4|n000976
type4|n001339
type4|n002778
type4|n002388
type4|n000318
type4|n005495
type4|n005967
type4|n001230
type4|n000925
type4|n008934
type4|n006803
type4|n005396
type4|n002439
type4|n004917
type4|n000732
type4|n007243
type4|n008378
type4|n002940
type4|n006195
type5|n001144
type5|n003111
type5|n008388
type5|n005094
type5|n003365
type5|n001451
type5|n005561
type5|n008893
type5|n008979
type5|n003500
type5|n000031
type5|n000085
type5|n000046
type5|n003047
type5|n006875
type5|n007692
type5|n004877
type5|n004825
type5|n005992
type5|n005498
type5|n007910
type5|n001773
type5|n008207
type5|n004724
type5|n003505
type5|n002378
type5|n001381
type5|n006014
type5|n007966
type5|n007219
type5|n006462
type5|n007580
type5|n007904
type5|n001207
type5|n002354
type5|n008730
type5|n000254
type5|n002374
type5|n002038
type5|n006764
type5|n005002
type5|n009142
type5|n004558
type5|n000831
